First Name,Last Name,Date of Birth,Address,Zipcode,Gender,Race / Ethnicity,English Fluency,Spanish Fluency,Education,High School GPA,College GPA,Years of Experience,Years of Volunteering,Myers Briggs Type,Twitter followers,Instagram Followers,Requires Sponsorship,Customer Satisfaction Rating,Sales Rating,Fired
Stephanie,Hudson,1994-09-11,022 John Pine Apt. 207,55864,Female,Black,Basic,Basic,None,,,5.7,0.0,ISTP,593,567,False,1.1,1.02,Current Employee
Michael,Mccullough,1997-09-15,56428 Ellis Cliff Suite 842,55864,Male,Black,Basic,Basic,None,,,1.6,0.0,ESTJ,2066,584,False,0.27,0.22,Fired
Cynthia,Benton,1988-10-25,992 Hughes Lakes Suite 093,59010,Female,Black,Basic,Basic,High School,3.84,3.44,10.0,0.0,ISTP,429,1046,False,2.24,2.15,Current Employee
Melissa,Moore,1986-08-15,9606 Bradley Springs Suite 271,30167,Female,Black,Fluent,Basic,None,,,12.5,0.0,ESFP,809,680,False,3.11,2.69,Current Employee
David,Moore,1991-10-20,900 Larry Loop Suite 638,43357,Male,Black,Proficient,Basic,High School,3.09,2.73,6.6,0.0,ESFP,525,919,False,1.89,1.69,Current Employee
Yvonne,Schultz,1984-03-30,06650 Jennifer Alley Suite 891,55864,Female,Black,Fluent,Basic,High School,3.64,2.55,15.0,0.0,INFP,569,510,False,3.77,3.41,Current Employee
Connor,Franklin,1986-03-15,21761 Robin Squares Apt. 428,60531,Male,Black,Fluent,Basic,None,,,11.7,0.0,INFP,569,1289,False,2.87,2.5,Current Employee
Ruth,Newman,1984-10-13,00034 Potts Views Suite 097,30167,Female,Black,Basic,Basic,High School,2.78,3.38,15.7,0.0,ISTJ,644,8889,False,3.36,3.11,Current Employee
Michael,Orr,1993-09-18,236 Smith Curve,59010,Male,Black,Fluent,Basic,High School,2.11,2.55,5.2,0.0,ISFJ,440,781,False,1.48,1.27,Current Employee
Gavin,Clarke,1995-01-18,004 Tina Glens,60531,Male,Black,Fluent,Basic,None,,,3.4,0.0,ENFP,313,1654,False,1.17,0.96,Current Employee
James,Kelley,1987-10-26,042 Chandler Grove,30167,Male,Black,Fluent,Basic,Associates,3.75,3.52,12.0,0.0,ISFJ,629,1500,False,3.17,2.89,Current Employee
Russell,Evans,1984-09-03,755 Darren Mews,86553,Male,Black,Proficient,Basic,None,,,15.8,0.0,INFJ,329,633,False,3.59,3.11,Current Employee
Amanda,Rogers,1994-07-07,961 Christopher Shoals Apt. 016,43357,Female,Black,Basic,Basic,High School,3.37,2.55,5.8,0.0,ISTJ,406,730,False,1.25,1.2,Current Employee
Kristie,Roberts,1998-06-24,3615 Yvette Passage,60531,Female,Black,Fluent,Basic,None,,,0.1,0.0,ESTJ,441,1163,False,0.26,0.21,Fired
Christopher,Lee,1984-10-12,087 Harris Mews,55864,Male,Black,Fluent,Basic,Associates,3.92,3.45,15.9,0.0,ESTP,322,43006,False,4.05,3.88,Current Employee
Dawn,Davidson,1996-05-23,37658 Garcia Pine,86553,Female,Black,Proficient,Basic,None,,,1.9,0.0,ESFJ,337,632,True,0.66,0.45,Fired
John,Elliott,1993-09-07,757 Reid Trafficway Suite 305,59010,Male,Black,Fluent,Basic,None,,,6.8,0.0,INTP,364,1441,False,1.69,1.58,Current Employee
Michele,Burgess,1988-03-28,24926 Robbins Station Apt. 180,43711,Female,Black,Fluent,Basic,High School,2.97,2.81,10.3,0.0,ISTP,362,937,False,2.58,2.45,Current Employee
Andrea,Anderson,1987-12-08,522 Murray Islands,30167,Female,Black,Basic,Basic,None,,,11.0,0.0,ESFJ,324,595,True,2.41,2.04,Current Employee
Janet,Moreno,1983-05-25,891 Bullock Falls Suite 967,43357,Female,Black,Fluent,Basic,None,,,15.8,0.0,ESFP,331,1455,False,3.82,3.34,Current Employee
Sarah,Compton,1993-02-27,002 Ashley Highway Apt. 446,55864,Female,Black,Fluent,Basic,High School,2.76,3.39,6.3,0.0,ESFJ,408,622,False,1.85,1.6,Current Employee
James,Reyes,1985-08-11,45007 Travis Trace Suite 256,60531,Male,Black,Basic,Basic,None,,,14.2,0.0,ISFP,321,2793,True,3.05,2.67,Current Employee
Amanda,Owens,1990-08-19,2009 Soto Course,59010,Female,Black,Basic,Basic,High School,2.66,2.75,9.1,0.0,ESFJ,321,3085,False,2.14,1.86,Current Employee
Joshua,Reed,1989-05-07,109 Mendez View Suite 942,59010,Male,Black,Basic,Basic,None,,,10.4,0.0,ESTP,457,21240,False,2.23,2.04,Current Employee
Tina,Hughes,1987-10-28,183 Philip Islands Apt. 510,43357,Female,Black,Basic,Basic,Associates,3.91,3.89,10.9,0.0,ESTJ,557,21516,False,2.65,2.56,Current Employee
Steven,Williams,1987-03-03,993 Kimberly Tunnel Suite 886,30167,Male,Black,Proficient,Basic,High School,2.2,3.82,12.4,0.0,ESTJ,308,1918,False,2.94,2.73,Current Employee
Jonathon,Dougherty,1985-04-21,1161 Kim Rue,86553,Male,Black,Proficient,Basic,High School,2.09,3.9,14.0,0.0,ISFP,327,697,False,3.33,2.99,Current Employee
Amanda,Griffin,1994-07-03,5415 Michael Burg,60531,Female,Black,Proficient,Basic,High School,2.08,2.77,4.2,0.0,INTJ,326,710,False,1.08,1.08,Current Employee
Gregory,Smith,1986-09-30,23031 Carter Rest Suite 322,59010,Male,Black,Fluent,Basic,High School,2.2,3.6,12.3,0.0,ISFJ,429,733,False,3.03,2.66,Current Employee
Jordan,Woods,1994-11-11,35574 Natalie Oval Apt. 911,60531,Female,Black,Proficient,Basic,High School,2.48,3.28,3.1,0.0,ISTP,658,534,False,0.89,0.92,Current Employee
Joseph,Parker,1989-03-26,358 Kari Glens Apt. 029,55864,Male,Black,Fluent,Basic,High School,3.14,3.54,9.2,0.0,INTP,368,1154,False,2.38,2.3,Current Employee
Alicia,Miller,1984-01-26,62964 Miller Lock,59010,Female,Black,Fluent,Basic,High School,3.91,3.22,14.1,0.0,ESFP,320,1049,False,3.67,3.29,Current Employee
Jaclyn,Rush,1983-10-23,57354 Davis Estates,60531,Female,Black,Basic,Basic,High School,2.61,3.03,16.9,0.0,ESFJ,1755,1179,False,3.82,3.39,Current Employee
Brian,Rodriguez,1993-02-15,762 Reynolds Forge Apt. 825,59010,Male,Black,Proficient,Basic,None,,,6.9,0.0,ISFJ,625,734,False,1.62,1.3,Current Employee
Joel,Walsh,1991-01-18,79703 Kayla Plaza Suite 267,59010,Male,Black,Basic,Basic,High School,3.46,2.72,8.8,0.0,ISTP,695,576,False,1.95,1.89,Current Employee
Brandon,Jimenez,1986-10-11,0140 Raymond Tunnel Suite 714,30167,Male,Black,Basic,Basic,None,,,13.8,0.0,ENTJ,343,704,False,2.94,2.66,Current Employee
Heather,Savage,1994-04-08,0144 Wilson Throughway Suite 216,60531,Female,Black,Proficient,Basic,High School,3.95,3.66,4.2,0.0,ISFJ,304,1209,False,1.26,1.06,Current Employee
Shannon,Campbell,1985-02-10,8168 Kimberly Square Apt. 592,55864,Female,Black,Fluent,Basic,High School,3.96,3.96,13.7,0.0,ENFP,301,2923,False,3.61,3.27,Current Employee
Brooke,Terry,1989-04-25,8457 Robinson Meadow,30167,Female,Black,Basic,Basic,High School,3.25,2.98,9.0,0.0,ISTJ,370,1552,False,1.94,1.83,Current Employee
Kathryn,Vasquez,1983-11-07,70930 Peter Well,60531,Female,Black,Fluent,Basic,Associates,2.35,2.75,15.5,0.0,ESFP,2663,1888,False,4.01,3.7,Current Employee
Sarah,Werner,1994-07-06,605 Christine Wells Suite 432,30167,Female,Black,Fluent,Basic,High School,3.58,3.77,5.2,0.0,INFJ,532,666,False,1.59,1.39,Current Employee
Nicole,Roberts,1984-08-14,625 Phyllis Light,59010,Female,Black,Proficient,Basic,High School,2.99,3.6,13.7,0.0,ENFJ,528,1226,False,3.41,3.04,Current Employee
Jillian,Fletcher,1991-09-29,27566 Price Fields,30167,Female,Black,Fluent,Basic,Associates,2.51,3.82,8.1,0.0,ESTJ,2295,644,False,2.35,2.29,Current Employee
Craig,Bentley,1992-10-20,031 Cox Shoal Suite 394,60531,Male,Black,Basic,Basic,High School,2.05,3.21,7.6,0.0,ISTJ,1046,904,True,1.57,1.52,Current Employee
Lisa,Bush,1991-07-16,567 Heather Prairie Suite 869,59010,Female,Black,Fluent,Basic,High School,3.19,3.11,8.8,0.0,ESFP,380,1664,True,2.47,2.24,Current Employee
Jordan,Scott,1990-12-01,00250 Adrian Centers,59010,Female,Black,Basic,Basic,High School,3.63,2.8,8.2,0.0,ESFP,420,2685,False,2.05,1.83,Current Employee
Jessica,Walker,1993-03-06,735 Obrien Club,55864,Female,Black,Fluent,Basic,High School,2.48,3.19,5.9,0.0,ISFP,536,4205,False,1.7,1.51,Current Employee
Emma,Herrera,1998-01-09,03513 Reed Street,86553,Female,Black,Basic,Basic,High School,3.97,3.79,0.7,0.0,ENTP,659,4228,False,0.37,0.48,Fired
David,Daniel,1987-12-14,475 Allen Grove,59010,Male,Black,Proficient,Basic,None,,,9.2,0.0,ISFP,477,1820,False,2.19,1.86,Current Employee
Juan,Smith,1991-04-02,67771 John Stream Apt. 379,60531,Male,Black,Fluent,Basic,None,,,7.1,0.0,ISTJ,597,11385,False,1.68,1.49,Current Employee
Angela,Simmons,1995-09-01,2373 Monica View Apt. 618,43357,Female,Black,Proficient,Basic,None,,,2.3,0.0,ESTJ,559,868,False,0.64,0.55,Current Employee
Stephanie,Bishop,1996-03-31,78978 Nelson Bridge,43711,Female,Black,Fluent,Basic,High School,3.78,3.52,1.7,0.0,ESTJ,381,510,False,0.81,0.8,Current Employee
Lisa,Joseph,1985-10-05,40886 Martinez Port Apt. 953,30167,Female,Black,Fluent,Basic,None,,,12.0,0.0,ENTP,377,1471,False,2.94,2.71,Current Employee
Megan,Warner,1994-01-23,318 Mark Islands,59010,Female,Black,Basic,Basic,None,,,5.7,0.0,ISFJ,436,1309,False,1.15,0.87,Current Employee
Karen,Perkins,1985-02-28,5590 Mcdowell Dale Apt. 123,59010,Female,Black,Fluent,Basic,High School,2.47,2.56,14.5,0.0,ISFJ,380,578,False,3.51,3.1,Current Employee
Richard,Hampton,1992-07-06,323 Gomez Path Suite 190,60531,Male,Black,Fluent,Basic,High School,3.99,2.93,7.8,0.0,ESFP,544,1163,False,2.29,2.05,Current Employee
Kelsey,Howard,1990-07-30,827 Mclaughlin Neck,60531,Female,Black,Fluent,Basic,High School,2.69,2.7,7.9,0.0,ESTP,608,1175,False,2.15,2.06,Current Employee
Michael,Miller,1985-03-01,546 Clark Harbor Suite 357,86553,Male,Black,Proficient,Basic,High School,3.43,3.0,12.6,0.0,ISFP,437,1437,False,3.11,2.79,Current Employee
Mary,Keller,1986-09-01,405 Brown Plaza,43357,Female,Black,Fluent,Basic,Associates,3.02,3.95,14.0,0.0,ISTP,407,4833,False,3.58,3.46,Current Employee
Heather,Henry,1983-11-14,35105 Henderson Tunnel,30167,Female,Black,Basic,Basic,High School,3.59,2.52,13.6,0.0,ESFP,1322,886,False,3.23,2.89,Current Employee
Cindy,Graham,1988-11-30,6606 Ferguson Station,60531,Female,Black,Proficient,Basic,High School,3.76,3.28,10.5,0.0,ISTJ,675,2580,False,2.5,2.33,Current Employee
Veronica,Bush,1995-09-27,662 Devon Track,60531,Female,Black,Fluent,Basic,High School,2.2,3.75,2.3,0.0,ESFJ,1609,556,False,0.97,0.8,Current Employee
Jose,Oconnor,1985-05-06,23028 Christian Via,30167,Male,Black,Basic,Basic,None,,,13.2,0.0,INTP,27284,1750,False,2.77,2.55,Current Employee
Linda,Oliver,1990-08-10,0456 Sarah Bypass Apt. 427,55864,Female,Black,Proficient,Basic,None,,,9.1,0.0,ESFP,1158,588,False,2.26,1.93,Current Employee
David,Kelly,1995-05-04,7604 Roberts Loop Apt. 898,59010,Male,Black,Proficient,Basic,High School,2.96,3.82,3.1,0.0,ENTJ,567,597,False,1.0,1.0,Current Employee
Deborah,Mcdaniel,1990-07-31,57004 Johnson Rapid,72361,Female,Black,Basic,Basic,None,,,8.1,0.0,ESFJ,1053,571,False,1.79,1.45,Current Employee
Lauren,Parsons,1987-10-03,885 Mary Forges Apt. 539,59010,Female,Black,Basic,Basic,High School,3.37,2.64,12.9,0.0,ENFP,526,2595,False,3.08,2.79,Current Employee
Michael,Patel,1997-09-21,250 Williams Dam,60531,Male,Black,Fluent,Basic,High School,2.01,2.67,2.4,0.0,ENTJ,315,843,False,0.89,0.91,Current Employee
Gregory,Carter,1987-10-26,962 Donald Camp,30167,Male,Black,Fluent,Basic,High School,2.54,3.37,12.8,0.0,ISFJ,449,1653,False,3.14,2.77,Current Employee
Beth,Noble,1995-02-07,493 Sharon Gardens,43357,Female,Black,Proficient,Basic,High School,2.24,2.66,4.0,0.0,ISFJ,1148,1799,False,1.12,0.94,Current Employee
Sandra,Moreno,1983-11-26,18896 Baker Glen Apt. 448,59010,Female,Black,Basic,Basic,None,,,13.7,0.0,ESTJ,1091,20426,False,2.9,2.6,Current Employee
Kelsey,Stewart,1988-08-24,208 Donna Valleys,30167,Female,Black,Basic,Basic,Associates,2.31,2.56,11.9,0.0,ISFJ,404,506,False,2.73,2.5,Current Employee
Kristine,Ward,1983-06-11,9305 Pugh Rapid Suite 703,60531,Female,Black,Basic,Basic,High School,3.19,3.15,16.7,0.0,ISTJ,340,1852,False,3.6,3.33,Current Employee
Kenneth,Allen,1985-12-22,197 Jennifer Trace Suite 132,60531,Male,Black,Proficient,Basic,High School,3.51,3.14,11.1,0.0,ISFJ,311,1044,False,2.73,2.4,Current Employee
Jessica,Brown,1990-01-31,465 Davis Burg Apt. 436,30167,Female,Black,Fluent,Basic,High School,2.93,3.31,9.5,0.0,ESFP,304,625,False,2.61,2.34,Fired
Jasmine,Rowe,1993-06-20,097 Ashley Park Apt. 067,59010,Female,Black,Fluent,Basic,Associates,2.99,2.52,4.4,0.0,ENFJ,355,2424,False,1.57,1.47,Current Employee
Thomas,Taylor,1984-03-18,0131 Ruiz Harbor Suite 056,59010,Male,Black,Fluent,Basic,High School,2.68,3.74,13.8,0.0,ESFJ,1735,764,True,3.48,3.11,Current Employee
Taylor,Joyce,1995-11-01,2926 Dixon Divide Suite 708,43711,Male,Black,Basic,Basic,High School,2.24,3.14,2.3,0.0,ESTP,307,1692,False,0.59,0.65,Current Employee
Amanda,Peters,1995-06-26,2591 Greg Fort Suite 544,59010,Female,Black,Proficient,Basic,High School,3.99,3.42,2.5,0.0,ESFP,573,599,False,1.05,0.92,Current Employee
Joseph,Bryant,1998-04-22,820 Thompson Mission,60531,Male,Black,Fluent,Basic,High School,3.92,3.1,1.1,0.0,ESFJ,360,1183,False,0.79,0.64,Current Employee
Stephanie,Stewart,1984-01-17,937 Mckinney Unions,60531,Female,Black,Proficient,Basic,High School,3.9,2.55,13.8,0.0,ESFJ,566,7600,False,3.44,3.04,Current Employee
Brandy,Ingram,1983-10-19,501 Cathy Parkway Apt. 685,60531,Female,Black,Fluent,Basic,High School,2.06,3.75,14.2,0.0,ISTP,544,1077,False,3.38,3.18,Current Employee
Victoria,Hensley,1984-11-05,220 Cathy Camp,72361,Female,Black,Proficient,Basic,High School,3.62,3.23,12.4,0.0,ESTP,385,1853,False,3.07,2.9,Current Employee
Maria,Hale,1996-05-18,25160 Cassandra Plains,59010,Female,Black,Fluent,Basic,None,,,3.9,0.0,ESFJ,351,831,False,1.18,0.9,Current Employee
David,Collins,1997-04-09,0743 Brown Corner Apt. 026,55864,Male,Black,Proficient,Basic,None,,,0.9,0.0,ENFJ,2059,614,False,0.47,0.28,Fired
Luis,Valdez,1983-01-21,771 Nichols Knoll,55864,Male,Black,Basic,Basic,High School,3.69,2.59,17.0,0.0,ESFJ,470,1920,False,3.9,3.46,Current Employee
Rachel,Schaefer,1983-04-19,15517 Moore Motorway Suite 006,55864,Female,Black,Basic,Basic,High School,3.45,3.84,17.0,0.0,ESFJ,365,647,False,3.89,3.45,Current Employee
Gail,Blackburn,1994-08-31,23950 Pamela Ranch,60531,Female,Black,Proficient,Basic,High School,3.93,3.25,3.4,0.0,ENFJ,439,531,False,1.22,1.06,Current Employee
Andrew,Allen,1987-08-13,532 Ford Trail,30167,Male,Black,Fluent,Basic,High School,3.0,3.51,12.4,0.0,ESFJ,664,727,False,3.19,2.81,Current Employee
Brenda,Cunningham,1983-01-20,6220 Marcus Alley,30167,Female,Black,Basic,Basic,None,,,16.5,0.0,ESTJ,342,804,False,3.5,3.14,Current Employee
Amber,Frost,1992-07-28,606 Robin Highway Apt. 258,43357,Female,Black,Proficient,Basic,Associates,2.03,3.41,5.6,0.0,ENTJ,314,513,False,1.7,1.73,Current Employee
Claire,Morales,1985-01-12,1663 Jeffrey Key,55864,Female,Black,Fluent,Basic,None,,,14.3,0.0,ISFP,449,1560,False,3.39,2.95,Current Employee
Maria,Sanders,1992-09-18,48580 Chan Trail,30167,Female,Black,Fluent,Basic,Associates,3.85,3.43,5.1,0.0,ENFJ,1362,1079,False,1.81,1.69,Current Employee
Donald,Carr,1997-07-31,180 Philip Spring Suite 661,55864,Male,Black,Basic,Basic,High School,3.22,3.13,2.4,0.0,ISFP,353,51754,False,0.66,0.57,Current Employee
Michelle,Munoz,1985-07-27,2948 Micheal Crossroad,43711,Female,Black,Fluent,Basic,High School,3.07,2.61,14.1,0.0,ISTJ,368,1484,True,3.35,3.13,Current Employee
Hunter,Kennedy,1991-08-26,42954 Blake Oval Apt. 646,60531,Male,Black,Fluent,Proficient,None,,,7.2,0.0,ISFP,773,511,False,1.94,1.7,Current Employee
Monica,Reed,1985-01-27,0696 Dawn Road,59010,Female,Black,Basic,Basic,High School,2.58,2.88,12.4,0.0,ISFJ,414,735,True,2.75,2.45,Current Employee
Angela,Coleman,1995-03-07,32308 Trevor Turnpike Suite 451,60531,Female,Black,Proficient,Basic,None,,,4.8,0.0,ESTJ,982,1215,True,1.17,1.06,Current Employee
Rebekah,Sloan,1997-01-30,258 Patel Crossroad,55864,Female,Black,Proficient,Basic,High School,3.66,3.27,1.4,0.0,ESFP,1185,1348,True,0.79,0.72,Current Employee
Jamie,Singh,1992-04-10,656 Hunt Vista,43357,Female,Black,Proficient,Basic,High School,2.08,3.08,6.2,0.0,ISTJ,872,688,False,1.49,1.41,Current Employee
Zachary,Hess,1994-06-14,99813 Morrison Mission Apt. 926,60531,Male,Black,Fluent,Basic,Associates,3.89,2.5,3.1,0.0,INFP,2297,614,False,1.24,1.22,Current Employee
Angela,Johnson,1984-10-15,751 Wood Ridge Suite 328,43357,Female,Black,Fluent,Basic,High School,3.83,3.56,14.6,0.0,ISFP,353,1600,False,3.66,3.29,Current Employee
Kristen,Kline,1996-02-07,202 Holmes Place Apt. 640,30167,Female,Black,Basic,Basic,Associates,3.07,3.8,2.2,0.0,ESFJ,720,9500,False,0.86,0.8,Current Employee
Laurie,Gillespie,1985-09-27,6196 William Locks Apt. 148,55864,Female,Black,Basic,Proficient,High School,2.18,3.25,12.3,0.0,ISFP,352,670,False,2.85,2.62,Current Employee
Katherine,Newman,1990-11-13,52492 Sydney Manor,30167,Female,Black,Proficient,Basic,Associates,3.75,3.08,6.2,0.0,ENFP,305,1038,False,1.96,1.87,Current Employee
Kylie,Ortiz,1984-05-24,14251 Michelle Stream,59010,Female,Black,Fluent,Basic,Associates,3.71,3.37,13.7,0.0,ISFJ,434,631,False,3.53,3.22,Current Employee
Breanna,Hansen,1982-12-11,9717 Baxter Hollow,43357,Female,Black,Proficient,Basic,High School,2.4,2.94,15.2,0.0,ESTJ,454,799,False,3.56,3.29,Current Employee
Anne,Smith,1986-09-06,430 Stacey Mission,59010,Female,Black,Fluent,Basic,High School,2.25,3.72,13.0,0.0,INFP,541,692,False,3.26,2.95,Current Employee
Glenda,Jones,1992-08-01,623 James Springs,59010,Female,Black,Basic,Basic,None,,,5.0,0.0,ESFP,326,3673,False,1.17,0.94,Current Employee
Mary,Harrington,1987-08-21,16587 Jenna Point,30167,Female,Black,Proficient,Basic,None,,,10.7,0.0,ISFP,330,1036,False,2.51,2.15,Current Employee
Heather,Ramirez,1989-08-23,417 Martinez Dale Suite 257,30167,Female,Black,Proficient,Basic,None,,,9.0,0.0,ESFJ,420,1766,False,2.19,1.82,Current Employee
Darryl,Becker,1989-06-09,9936 Tucker Harbor,60531,Male,Black,Basic,Basic,None,,,9.6,0.0,ISFJ,343,1151,False,2.0,1.64,Current Employee
Michael,Davis,1988-03-21,609 Russell Fort,43711,Male,Black,Proficient,Basic,High School,3.28,3.4,10.7,0.0,ISFP,469,585,False,2.68,2.4,Fired
Nicholas,White,1985-11-25,3006 Anderson Stravenue Suite 317,86553,Male,Black,Basic,Basic,High School,3.43,3.82,12.4,0.0,ISFJ,1967,776,False,2.79,2.46,Fired
Craig,Smith,1998-01-28,8233 Reyes Station Apt. 609,60531,Male,Black,Fluent,Basic,None,,,1.0,0.0,ISFJ,753,2131,False,0.45,0.24,Fired
Troy,Johnson,1988-09-23,729 King Course Apt. 029,60531,Male,Black,Proficient,Basic,High School,2.31,2.72,9.1,0.0,ENTP,318,5193,False,2.32,2.25,Current Employee
Patricia,Taylor,1986-05-07,3688 Daniel Union Apt. 772,60531,Female,Black,Fluent,Basic,High School,3.37,3.38,11.3,0.0,ISFJ,539,1117,False,2.88,2.53,Current Employee
Jordan,Morgan,1989-11-27,85373 Kimberly Lake,55864,Female,Black,Basic,Basic,High School,2.29,3.46,9.9,0.0,ISTJ,378,13136,False,2.08,1.95,Current Employee
Jillian,Barron,1992-03-22,736 Thomas Crossing,59010,Female,Black,Proficient,Basic,High School,2.04,2.94,7.1,0.0,ISFJ,322,659,False,1.78,1.54,Current Employee
Jessica,Ward,1991-02-05,813 April Ramp Suite 250,72361,Female,Black,Proficient,Basic,None,,,8.9,0.0,ESFJ,1758,508,False,2.16,1.79,Current Employee
George,Howell,1985-07-21,3673 Brandon Village Suite 583,86553,Male,Black,Basic,Basic,High School,2.32,2.51,14.3,0.0,ESFJ,836,1515,False,3.25,2.87,Current Employee
Nathaniel,White,1998-07-12,962 Williamson Turnpike Suite 397,43711,Male,Black,Basic,Basic,None,,,0.7,0.0,INTP,540,696,False,0.05,0.1,Fired
Amanda,Freeman,1993-02-05,3000 Scott Ramp Apt. 186,86553,Female,Black,Fluent,Basic,Associates,3.12,3.18,5.3,0.0,ISFJ,467,534,False,1.69,1.55,Current Employee
Tammy,Walters,1987-09-12,3258 Robbins Junctions Suite 571,30167,Female,Black,Proficient,Basic,None,,,10.9,0.0,ESFJ,1210,22217,False,2.61,2.19,Current Employee
Charles,Webster,1995-08-12,783 Padilla Brook,60531,Male,Black,Basic,Basic,None,,,4.2,0.0,ENFJ,2634,755,False,0.97,0.73,Current Employee
Christine,Nash,1992-10-14,830 Barnett Mountain Suite 468,60531,Female,Black,Proficient,Proficient,High School,2.51,3.08,6.7,0.0,ISFP,2191,651,False,1.86,1.72,Current Employee
Kimberly,Miller,1995-04-03,69541 Saunders Fords,59010,Female,Black,Proficient,Basic,None,,,3.4,0.0,INTJ,875,8529,False,0.8,0.72,Current Employee
Walter,Johnson,1997-07-08,7419 Natalie Wall Apt. 853,60531,Male,Black,Basic,Basic,High School,3.9,3.4,0.3,0.0,ESFJ,1195,1353,True,0.31,0.23,Fired
Samantha,Baker,1984-05-03,99718 Luis Row,60531,Female,Black,Fluent,Basic,None,,,15.2,0.0,ISFP,1058,707,False,3.59,3.12,Current Employee
Allison,Hamilton,1994-02-16,20163 Joseph Junction Apt. 593,43357,Female,Black,Fluent,Basic,High School,3.54,2.92,3.2,0.0,ISFJ,303,1308,False,1.13,0.95,Current Employee
Natasha,Weaver,1983-11-03,2704 Maurice Well,55864,Female,Black,Proficient,Basic,High School,3.83,3.47,16.0,0.0,ESTJ,334,766,True,3.8,3.54,Current Employee
Lisa,Butler,1996-04-10,18192 Abigail Spur Apt. 832,60531,Female,Black,Proficient,Basic,None,,,2.5,0.0,INFJ,463,27517,False,0.71,0.5,Current Employee
Michael,Hayden,1989-08-12,752 Teresa Inlet,30167,Male,Black,Basic,Basic,High School,2.6,2.55,9.4,0.0,ESFP,592,995,False,2.26,2.02,Current Employee
Zachary,Phelps,1986-07-02,24801 Murphy Trafficway,43711,Male,Black,Basic,Basic,None,,,13.6,0.0,INFJ,331,792,True,2.9,2.51,Current Employee
Richard,Morris,1984-04-06,12438 Grimes Common Suite 611,30167,Male,Black,Proficient,Basic,None,,,13.2,0.0,INFJ,345,2811,False,3.04,2.61,Current Employee
Linda,Ford,1988-05-04,64000 Adams Track,60531,Female,Black,Fluent,Basic,High School,2.65,3.55,9.1,0.0,ESTJ,355,1023,False,2.36,2.21,Current Employee
Matthew,Stewart,1992-02-23,38249 Paul Gateway Apt. 587,60531,Male,Black,Basic,Basic,None,,,5.0,0.0,ENFP,1124,554,False,1.21,1.0,Current Employee
Stacy,Erickson,1990-01-12,3760 Kyle Stream,30167,Female,Black,Proficient,Basic,High School,2.49,3.7,7.3,0.0,INFJ,2601,18463,False,1.89,1.66,Current Employee
Tanner,Horne,1983-01-31,6183 Joseph Light Suite 028,55864,Male,Black,Fluent,Basic,High School,2.02,3.52,16.4,0.0,INFJ,809,5351,False,3.93,3.51,Current Employee
Hunter,Wright,1986-08-04,284 White Trace Suite 238,60531,Male,Black,Fluent,Basic,None,,,12.7,0.0,ISFJ,317,750,False,2.99,2.54,Current Employee
